School Name,Degree Level,PGM-CD,Program Name,CIP,Add/Dis/Mov/Red,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hagerstown Community College,ASSOCIATE,531100,ADVANCED MANUFACTURING SYSTEMS,470105,Approved in 2015,0,0,0,0,0,0,0,0,0,0,4,9,13,16
Hagerstown Community College,ASSOCIATE,531101,ELECTRICAL ENGINEERING TECH,150403,Discontinued in 2008,10,3,3,1,0,0,0,0,0,0,0,0,0,0
Hagerstown Community College,ASSOCIATE,531102,ELECTRICAL ENGINEERING TECHNOLOGY,150303,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,3,8,7
Hagerstown Community College,ASSOCIATE,531205,INDUSTRIAL TECHNOLOGY,150612,Discontinued in 2015,5,7,10,21,20,22,20,25,14,10,3,1,0,0
Hagerstown Community College,ASSOCIATE,531401,DIGITALINSTRUMENTATION & PROCESS CO,150404,Approved in 2011,0,0,0,0,0,0,5,4,0,2,5,4,5,2
Hagerstown Community College,ASSOCIATE,531501,MECHANICAL ENGINEERING TECH,150805,,55,51,52,50,57,58,55,39,41,45,46,34,37,24
Hagerstown Community College,ASSOCIATE,539901,ALTERNATIVE ENERGY TECHNOLOGY,159999,Approved in 2010,0,0,0,0,6,65,57,54,28,19,13,13,6,1
Hagerstown Community College,ASSOCIATE,540701,BIOTECHNOLOGY,410101,Approved in 2007,0,5,16,23,33,53,33,33,37,21,19,21,19,16
Hagerstown Community College,ASSOCIATE,550301,EARLY CHILD/PRIMARY GRADE ED,190708,,42,34,46,48,61,71,64,73,59,63,53,49,48,37
Hagerstown Community College,ASSOCIATE,550501,ADMINISTRATION OF JUSTICE,430107,,103,83,89,102,136,116,94,60,54,58,46,56,35,30
Hagerstown Community College,ASSOCIATE,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,0,0,2,149,252,242,261,188,133,126,0,0,0,0
Hagerstown Community College,NON-DEGREE UNDERGRADUATE,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,530,778,735,681,588,460,753,877,882,852,828,874,899,848
Harford Community College,LOWER DIVISION CERTIFICATE,491015,GLOBAL STUDIES,451099,Discontinued in 2010,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,496020,SECONDARY CERTIFICATE,131205,Approved in 2003,21,14,17,21,16,10,8,9,3,10,8,8,3,5
Harford Community College,LOWER DIVISION CERTIFICATE,499915,HEALTH INFORMATION TECHNOLOGY,309999,Approved in 2015,0,0,0,0,0,0,0,0,0,0,3,3,7,5
Harford Community College,LOWER DIVISION CERTIFICATE,500102,ENTREPRENEURSHIP,520701,Approved in 2011,0,0,0,0,0,5,5,7,6,3,8,5,9,5
Harford Community College,LOWER DIVISION CERTIFICATE,500201,ACCOUNTING,520302,,7,15,13,21,26,34,31,29,23,24,9,14,12,14
Harford Community College,LOWER DIVISION CERTIFICATE,500250,CPA EXAM QUALIFICATION,520301,Approved in 2008,0,0,0,2,6,6,10,10,11,9,9,8,7,3
Harford Community College,LOWER DIVISION CERTIFICATE,500407,MARKETING,521401,Approved in 2011,0,0,0,0,0,3,5,10,11,9,4,5,3,2
Harford Community College,LOWER DIVISION CERTIFICATE,500409,HUMAN RESOURCES,521001,Approved in 2011,0,0,0,0,0,2,7,6,11,7,9,8,4,4
Harford Community College,LOWER DIVISION CERTIFICATE,500501,ADMINISTRATIVE OFFICE CERTIFICATE,520401,,12,12,18,28,27,24,21,18,15,8,6,9,11,14
Harford Community College,LOWER DIVISION CERTIFICATE,500517,ADMINISTRATIVE PROFESSIONS,520401,Approved in 2011,0,0,0,0,0,7,9,12,5,7,7,3,4,1
Harford Community College,LOWER DIVISION CERTIFICATE,500701,PHOTOGRAPHY,500406,,5,4,8,5,6,8,8,1,2,5,4,1,1,0
Harford Community College,LOWER DIVISION CERTIFICATE,500801,JOURNALISM/NEW MEDIA & AD,109999,,13,15,12,12,9,11,6,7,9,9,6,4,2,5
Harford Community College,LOWER DIVISION CERTIFICATE,501203,INTERIOR DESIGN,500408,Discontinued in 2015,8,6,5,4,3,3,6,4,4,1,0,0,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,501205,FOUNDATIONS,500401,Discontinued in 2010,3,8,2,1,1,0,0,0,0,0,0,0,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,501206,DIGITAL MEDIA,500401,Discontinued in 2010,1,3,6,2,2,1,1,0,0,0,0,0,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,510102,INFORMATION ASSURANCE AND CYBERSECU,111003,Approved in 2010,0,0,0,0,1,7,13,8,15,21,33,19,19,14
Harford Community College,LOWER DIVISION CERTIFICATE,510103,CYBER DEFENSE,111003,Approved in 2016,0,0,0,0,0,0,0,0,0,0,1,35,42,38
Harford Community College,LOWER DIVISION CERTIFICATE,510301,COMPUTER INFORMATION SYSTEMS,110202,,17,17,21,20,16,12,13,15,18,14,17,13,8,10
Harford Community College,LOWER DIVISION CERTIFICATE,520901,PRACTICAL NURSING,513901,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,521401,MEDICAL OFFICE ASSISTANT,510716,Approved in 2003,19,14,14,24,26,36,25,26,19,15,17,11,9,5
Harford Community College,LOWER DIVISION CERTIFICATE,521402,MEDICAL ASSISTING,510801,Approved in 2006,0,8,21,41,51,54,52,47,43,28,25,20,13,13
Harford Community College,LOWER DIVISION CERTIFICATE,530302,COMPUTER-AIDED DESIGN & DRAFTING,151302,Approved in 2008,0,0,1,5,10,13,14,13,4,7,6,15,14,11
Harford Community College,LOWER DIVISION CERTIFICATE,540100,ENVIRONMENTAL TECHNOLOGY,30103,Approved in 2002,2,4,2,2,0,1,3,2,3,3,1,0,1,1
Harford Community College,LOWER DIVISION CERTIFICATE,540201,AGRIBUSINESS,10101,Approved in 2011,0,0,0,0,0,1,0,1,1,1,2,1,0,0
Harford Community College,LOWER DIVISION CERTIFICATE,540702,BIOTECHNOLOGY,410101,Approved in 2001,0,0,0,0,1,5,3,4,3,3,2,1,0,1
Harford Community College,LOWER DIVISION CERTIFICATE,559901,PARALEGAL STUDIES,220302,Approved in 2001,17,16,15,12,17,18,13,11,9,9,10,7,11,11
Harford Community College,LOWER DIVISION CERTIFICATE,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,69900,COMMUNICATION STUDIES,99999,Approved in 2015,0,0,0,0,0,0,0,0,0,2,21,22,29,29
Harford Community College,ASSOCIATE,83500,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Harford Community College,ASSOCIATE,83700,COMMUNITY HEALTH PROMOTION,512208,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harford Community College,ASSOCIATE,109901,ARTS MANAGEMENT,500702,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Harford Community College,ASSOCIATE,491001,ARTS & SCIENCES TRANSFER,240101,,670,748,827,931,1081,1031,1097,1061,1015,1025,930,919,855,796
Harford Community College,ASSOCIATE,491002,ART & DESIGN,500401,Approved in 2008,0,0,0,108,161,162,184,168,161,158,160,166,164,138
Harford Community College,ASSOCIATE,491006,PERFORMING ARTS,500101,Approved in 2005,0,0,0,0,0,33,20,18,26,20,25,28,21,19
Harford Community College,ASSOCIATE,494001,ENGINEERING TRANSFER,140101,,87,77,91,139,164,166,189,182,185,174,158,142,136,122
Harford Community College,ASSOCIATE,495001,GENERAL STUDIES TRANSFER,240199,,628,585,655,752,799,918,892,951,932,1034,956,853,773,830
Harford Community College,ASSOCIATE,496001,TEACHER EDUCATION TRANSFER,130101,,141,119,76,63,62,50,50,47,43,33,36,42,30,34
Harford Community College,ASSOCIATE,496009,EARLY CHILDHOOD EDUCATION (AAT),131210,Approved in 2006,27,70,82,99,101,102,93,110,99,112,103,98,85,77
Harford Community College,ASSOCIATE,496011,ELEM EDUC/GENERIC SPEC EDUC PREK-12,131202,Approved in 2002,88,106,141,161,161,133,117,98,75,81,54,73,61,68
Harford Community College,ASSOCIATE,496030,SECONDARY EDUCATION - CHEMISTRY (AA,131323,Approved in 2006,1,0,2,2,1,3,2,2,3,4,2,0,1,2
Harford Community College,ASSOCIATE,496031,SECONDARY EDUCATION - MATHEMATICS (,131311,Approved in 2006,1,5,10,13,13,17,13,10,10,11,8,1,0,3
Harford Community College,ASSOCIATE,496032,SECONDARY EDUCATION - PHYSICS (AAT),131329,Approved in 2006,1,2,2,0,0,1,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,496033,SECONDARY EDUCATION - SPANISH (A.A.,131330,Approved in 2011,0,0,0,0,0,0,2,4,6,9,7,1,3,6
Harford Community College,ASSOCIATE,496034,SECONDARY EDUCATION-ENGLISH (A.A.T.,131305,Approved in 2011,0,0,0,0,0,0,8,12,18,12,11,5,7,6
Harford Community College,ASSOCIATE,497001,BUSINESS ADMINISTRATION TRANSFER,520101,,394,417,451,459,475,446,438,431,427,470,444,432,437,407
Harford Community College,ASSOCIATE,498001,COMPUTER SCIENCE TRANSFER,110101,,71,52,47,84,84,92,107,102,114,134,146,144,129,110
Harford Community College,ASSOCIATE,499915,TECHNICAL/PROFESSIONAL STUDIES,309999,Approved in 2000,60,76,62,50,39,46,35,33,29,20,14,24,28,17
Harford Community College,ASSOCIATE,500101,BUSINESS MANAGEMENT,520201,Approved in 1980,129,128,138,119,116,137,186,188,183,173,153,143,148,112
Harford Community College,ASSOCIATE,500201,ACCOUNTING,520302,,80,85,80,71,66,80,83,74,64,63,49,46,44,56
Harford Community College,ASSOCIATE,500501,OFFICE TECHNOLOGY,520401,Discontinued in 2003,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,500801,MASS COMMUNICATIONS,109999,,83,85,82,81,73,87,98,96,88,95,71,62,47,55
Harford Community College,ASSOCIATE,500805,DESIGN & TECHNICAL THEATER,500502,Approved in 2005,7,16,24,42,46,5,2,7,9,6,5,4,3,5
Harford Community College,ASSOCIATE,501203,INTERIOR DESIGN,500408,Discontinued in 2015,51,53,36,44,36,18,15,18,21,10,3,2,0,0
Harford Community College,ASSOCIATE,501205,VISUAL COMMUNICATIONS,500401,Discontinued in 2008,61,56,65,22,10,4,1,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,510101,COMPUTER INFORMATION SYSTEMS,521201,,104,92,92,105,102,131,98,87,104,104,101,119,138,112
Harford Community College,ASSOCIATE,510102,INFORMATION ASSURANCE AND CYBERSECU,111003,Approved in 2006,8,19,32,47,55,54,70,89,82,75,96,121,111,116
Harford Community College,ASSOCIATE,520801,NURSING,513801,,847,875,897,1038,1086,1126,1090,1005,984,909,910,949,911,944
Harford Community College,ASSOCIATE,521402,MEDICAL ASSISTING,510801,Approved in 2006,11,25,35,74,94,88,123,110,75,97,82,68,59,47
Harford Community College,ASSOCIATE,521701,ELECTRONEURODIAGNOSTIC TECH,510903,Discontinued in 2019,15,16,20,22,29,37,33,30,34,29,15,5,0,0
Harford Community College,ASSOCIATE,530101,ENGINEERING TECHNOLOGY,159999,Approved in 2006,0,23,31,44,49,56,44,44,41,40,30,28,34,47
Harford Community College,ASSOCIATE,530301,COMPUTER-AIDED DESIGN & DRAFTING,151302,Approved in 1993,58,51,55,48,40,35,38,30,27,25,32,23,32,31
Harford Community College,ASSOCIATE,531501,HIGH PERFORMANCE MANUFACTURING,150699,Approved in 1999,5,0,1,1,0,0,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,540100,ENVIRONMENTAL TECHNOLOGY,30103,Approved in 1999,4,7,9,9,9,5,3,3,1,0,3,4,2,0
Harford Community College,ASSOCIATE,540701,SCIENCE LAB TECH,419999,Discontinued in 2019,21,30,24,32,28,35,23,17,7,2,0,0,0,0
Harford Community College,ASSOCIATE,550301,EARLY CHILDHOOD EDUCATION,131210,Approved in 1994,89,96,68,80,87,78,98,90,82,59,62,60,50,62
Harford Community College,ASSOCIATE,550302,PARAEDUCATION,131501,Approved in 2014,0,0,0,0,0,0,0,0,0,5,5,7,3,3
Harford Community College,ASSOCIATE,550501,CRIMINAL JUSTICE,430107,Discontinued in 2003,14,11,7,3,2,0,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,559901,PARALEGAL STUDIES,220302,Discontinued in 2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,ASSOCIATE,559910,LEGAL STUDIES,220000,Approved in 2003,118,88,73,94,99,90,105,85,69,59,54,67,51,44
Harford Community College,ASSOCIATE,909901,GENERAL UNDECLARED OR UNDECIDED,240199,,592,585,549,536,570,567,529,574,521,303,222,170,138,3
Harford Community College,NON-DEGREE UNDERGRADUATE,491001,ARTS & SCIENCES TRANSFER,240101,,0,1,0,0,21,23,32,36,21,15,7,10,12,5
Harford Community College,NON-DEGREE UNDERGRADUATE,491002,ART & DESIGN,500401,,0,0,0,0,1,2,5,2,2,2,1,1,2,2
Harford Community College,NON-DEGREE UNDERGRADUATE,491006,PERFORMING ARTS,500101,,0,0,0,0,0,0,3,0,0,1,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,494001,ENGINEERING TRANSFER,140101,,0,0,0,0,6,5,5,6,3,3,1,3,2,2
Harford Community College,NON-DEGREE UNDERGRADUATE,495001,GENERAL STUDIES TRANSFER,240199,,0,3,1,0,16,14,31,39,18,127,19,9,7,4
Harford Community College,NON-DEGREE UNDERGRADUATE,496001,TEACHER EDUCATION TRANSFER,130101,,0,0,1,0,1,0,1,2,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,496009,EARLY CHILDHOOD EDUCATION (AAT),131210,,0,0,0,0,1,0,0,2,2,0,1,2,1,0
Harford Community College,NON-DEGREE UNDERGRADUATE,496011,ELEM EDUC/GENERIC SPEC EDUC PREK-12,131202,,0,0,0,0,0,1,2,3,1,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,496020,SECONDARY CERTIFICATE,131205,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,496034,SECONDARY EDUCATION-ENGLISH (A.A.T.,131305,,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,497001,BUSINESS ADMINISTRATION TRANSFER,520101,,0,1,2,0,2,3,1,6,1,1,0,1,2,1
Harford Community College,NON-DEGREE UNDERGRADUATE,498001,COMPUTER SCIENCE TRANSFER,110101,,0,2,0,0,2,1,2,6,2,2,2,1,2,1
Harford Community College,NON-DEGREE UNDERGRADUATE,499915,TECHNICAL/PROFESSIONAL STUDIES,309999,,0,0,0,0,3,1,0,0,0,0,0,1,3,0
Harford Community College,NON-DEGREE UNDERGRADUATE,500101,BUSINESS MANAGEMENT,520201,,0,0,0,0,2,0,5,4,1,3,3,2,0,2
Harford Community College,NON-DEGREE UNDERGRADUATE,500102,ENTREPRENEURSHIP,520701,,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,500201,ACCOUNTING,520302,,0,0,0,0,4,4,1,5,4,1,1,2,3,1
Harford Community College,NON-DEGREE UNDERGRADUATE,500407,MARKETING,521401,,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Harford Community College,NON-DEGREE UNDERGRADUATE,500501,OFFICE TECHNOLOGY,520401,,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Harford Community College,NON-DEGREE UNDERGRADUATE,500517,ADMINISTRATIVE PROFESSIONS,520401,,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,500801,MASS COMMUNICATIONS,109999,,0,1,0,0,2,2,1,3,0,0,1,1,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,500805,DESIGN & TECHNICAL THEATER,500502,,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,501205,VISUAL COMMUNICATIONS,500401,,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,510101,COMPUTER INFORMATION SYSTEMS,521201,,0,2,0,0,0,1,0,1,0,2,3,2,0,1
Harford Community College,NON-DEGREE UNDERGRADUATE,510102,INFORMATION ASSURANCE AND CYBERSECU,111003,,0,0,0,0,0,0,1,0,0,3,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,510103,CYBER DEFENSE,111003,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,510301,COMPUTER INFORMATION SYSTEMS,110202,,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,520801,NURSING,513801,,0,1,0,0,15,13,16,19,9,5,3,5,6,1
Harford Community College,NON-DEGREE UNDERGRADUATE,521402,MEDICAL ASSISTING,510801,,0,0,0,0,0,0,0,0,0,0,1,0,2,1
Harford Community College,NON-DEGREE UNDERGRADUATE,521701,ELECTRONEURODIAGNOSTIC TECH,510903,,0,0,0,0,0,1,0,1,2,1,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,530101,ENGINEERING TECHNOLOGY,159999,,0,0,0,0,0,0,3,2,0,0,0,0,1,0
Harford Community College,NON-DEGREE UNDERGRADUATE,530301,COMPUTER-AIDED DESIGN & DRAFTING,151302,,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,540701,SCIENCE LAB TECH,419999,,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,550301,EARLY CHILDHOOD EDUCATION,131210,,0,1,0,0,3,1,5,2,1,2,0,1,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,550501,CRIMINAL JUSTICE,430107,,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,559901,PARALEGAL STUDIES,220302,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harford Community College,NON-DEGREE UNDERGRADUATE,559910,LEGAL STUDIES,220000,,0,0,0,0,1,0,0,2,1,2,0,1,2,0
Harford Community College,NON-DEGREE UNDERGRADUATE,909901,GENERAL UNDECLARED OR UNDECIDED,240199,,924,1088,1162,1083,1094,965,971,830,892,804,1039,1047,1108,1200
Howard Community College,UNKNOWN DEGREE LEVEL,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,0,0,0,0,0,0,0,12,9,205,214,0,25,15
Howard Community College,LOWER DIVISION CERTIFICATE,491001,ARTS ADMINISTRATION,501002,Discontinued in 2012,4,5,9,17,10,6,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,491002,COMMUNICATION STUDIES,90101,Discontinued in 2012,6,11,7,7,6,5,2,1,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,491016,PHOTOGRAPHY,500406,Discontinued in 2012,0,0,0,0,0,0,6,0,0,2,2,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,491017,EXERCISE SCIENCE - MARTIAL ARTS,310599,Discontinued in 2017,0,0,1,2,1,1,1,1,1,1,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,495001,TRANSFER STUDIES,240102,Discontinued in 2017,17,20,26,22,17,17,15,17,14,2,2,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,500202,CERTIFIED BOOKKEEPING,520302,Approved in 2011,0,0,0,0,0,3,8,14,13,19,17,14,8,2
Howard Community College,LOWER DIVISION CERTIFICATE,500401,BUSINESS MANAGEMENT,520201,Approved in 1989,2,10,9,11,17,14,12,17,22,25,31,15,3,8
Howard Community College,LOWER DIVISION CERTIFICATE,500408,RETAILING,521899,Discontinued in 2013,1,0,0,1,1,1,0,1,1,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,500411,E-COMMERCE/E-BUSINESS,520299,Discontinued in 2013,1,0,0,3,1,1,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,500501,OFFICE TECHNOLOGY,520401,,17,11,10,12,22,22,21,10,22,19,24,14,12,9
Howard Community College,LOWER DIVISION CERTIFICATE,500801,ENTERTAINMENT TECHNOLOGY,100299,Approved in 2016,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Howard Community College,LOWER DIVISION CERTIFICATE,500803,TELEVISION PRODUCTION,500402,Discontinued in 2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,501001,HOSPITALITY MANAGEMENT,120504,Discontinued in 2012,4,7,2,4,6,5,7,18,13,10,8,1,2,1
Howard Community College,LOWER DIVISION CERTIFICATE,501002,CULINARY MANAGEMENT,120504,Discontinued in 2012,1,7,13,15,9,8,9,22,34,34,27,7,9,10
Howard Community College,LOWER DIVISION CERTIFICATE,501003,EVENT MANAGEMENT,520907,Approved in 2012,0,0,0,0,0,0,0,0,9,10,7,22,4,4
Howard Community College,LOWER DIVISION CERTIFICATE,501205,GRAPHIC DESIGN,500402,Discontinued in 2012,8,16,17,15,11,6,4,1,0,1,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,501217,MULTIMEDIA DESIGN,500402,Discontinued in 2012,2,3,6,8,3,2,1,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,501224,WEB DESIGN,500402,Discontinued in 2012,2,3,3,6,3,1,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,501260,GAMING AND SIMULATION DESIGN,500402,Discontinued in 2012,8,11,9,7,4,1,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,510501,HELPDESK/LAN SUPPORT TECHNOLOGY,151202,Approved in 1984,34,42,44,43,36,46,26,23,21,19,26,14,8,7
Howard Community College,LOWER DIVISION CERTIFICATE,519901,CYBER FORENSICS TECHNOLOGY,430116,Approved in 2015,0,0,0,0,0,0,0,0,0,7,6,7,2,1
Howard Community College,LOWER DIVISION CERTIFICATE,519902,MICROCOMPUTER APPLICATIONS,521201,Discontinued in 1995,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,519903,NETWORK SECURITY ADMINISTRATION,110901,Approved in 1993,11,12,16,14,8,18,10,11,9,8,8,5,7,7
Howard Community College,LOWER DIVISION CERTIFICATE,519950,INFO TECHNOLOGY - E-COMMERCE DESIGN,521201,Discontinued in 2013,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,519951,INFO TECHNOLOGY - INTERNET PROFESSI,521201,Discontinued in 2013,0,2,1,3,0,2,1,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,519952,WEB DEVELOPER,110901,Approved in 2003,3,5,12,6,12,7,6,7,12,13,17,9,7,6
Howard Community College,LOWER DIVISION CERTIFICATE,519953,INFORMATION TECHNOLOGY - WEBMASTER,110901,Discontinued in 2013,1,1,2,1,1,2,0,0,1,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,520901,LICENSED PRACTICAL NURSING,513901,Approved in 1993,89,100,91,90,92,87,82,122,109,89,69,26,5,13
Howard Community College,LOWER DIVISION CERTIFICATE,521601,HUMAN SERVICES,511502,Discontinued in 2017,12,16,5,10,8,13,8,6,8,4,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,521702,CARDIOVASCULAR TECH FOR HEALTH CARE,510901,Approved in 1996,19,14,10,3,7,7,2,3,0,1,1,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,521703,ADV. CARDIOVAS. IMAGING & INTERVENT,510999,Discontinued in 2012,1,1,1,1,1,1,2,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,521704,CARDIAC MONITORING AND ANALYSIS,510901,Approved in 2005,5,3,3,1,0,3,4,6,1,4,4,1,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,529910,EMT/PARAMEDIC,510904,Approved in 1999,7,5,10,17,15,23,11,38,28,25,12,2,1,2
Howard Community College,LOWER DIVISION CERTIFICATE,529911,EXERCISE SCIENCE-PERSONAL TRAINING,319999,Approved in 2004,2,4,3,3,3,1,1,8,3,1,1,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,530301,COMPUTER AIDED DESIGN TECH,151301,Approved in 1988,6,10,5,5,5,3,6,5,6,6,8,7,3,1
Howard Community College,LOWER DIVISION CERTIFICATE,531001,ELECTRONICS TECH,150303,,4,2,3,2,3,5,10,5,1,2,1,2,1,2
Howard Community College,LOWER DIVISION CERTIFICATE,531701,CONSTRUCTION MANAGEMENT,460499,Approved in 2008,0,0,0,1,1,2,2,3,5,6,1,4,2,1
Howard Community College,LOWER DIVISION CERTIFICATE,539902,BIOMEDICAL ENG,150401,Discontinued in 2017,4,1,2,4,5,5,3,5,4,2,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,539904,BIOMEDICAL ENGINEER SPACIALIST,150401,Approved in 2012,0,0,0,0,0,0,0,0,0,0,5,2,2,2
Howard Community College,LOWER DIVISION CERTIFICATE,540201,PLANT SCIENCE,10601,Discontinued in 2012,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Howard Community College,LOWER DIVISION CERTIFICATE,550301,EARLY CHILDHOOD DEVELOPMENT,190708,Approved in 1989,16,15,18,16,15,27,15,20,17,23,18,13,3,6
Howard Community College,LOWER DIVISION CERTIFICATE,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,0,1,1,2,1,3,1,1,5,1,2,0,2,2
Howard Community College,ASSOCIATE,121400,PUBLIC HEALTH,512208,Approved in 2016,0,0,0,0,0,0,0,0,0,0,45,33,32,46
Howard Community College,ASSOCIATE,491001,ARTS & SCIENCES TRANSFER,240101,,1806,1873,2048,2343,2576,2817,2781,2535,2598,2395,2079,1832,1260,1347
Howard Community College,ASSOCIATE,494001,ENGINEERING TRANSFER,140101,Approved in 1981,145,173,181,232,244,247,270,222,257,246,194,174,113,120
Howard Community College,ASSOCIATE,494002,COMPUTER ENGINEERING (ASE),140901,Approved in 2010,0,0,0,0,0,0,0,72,69,79,73,49,37,41
Howard Community College,ASSOCIATE,494003,ELECTRICAL ENGINEERING (ASE),141001,Approved in 2010,0,0,0,0,0,0,0,32,37,38,34,25,22,20
Howard Community College,ASSOCIATE,495001,GENERAL STUDIES TRANSFER,240102,,1472,1609,1593,1811,1932,2137,2149,1982,1895,1907,2358,3347,4400,3664
Howard Community College,ASSOCIATE,496001,TEACHER EDUCATION TRANSFER,130101,,184,154,155,179,211,185,200,174,156,128,113,81,78,71
Howard Community College,ASSOCIATE,496009,EARLY CHLDHD ED/EARLY CHLDHD SPC ED,131210,Approved in 2005,57,42,53,68,89,95,108,125,139,134,109,104,70,81
Howard Community College,ASSOCIATE,496011,ELEM EDUC/ELEMENTARY SPEC EDUC (AAT,131202,Approved in 2001,97,104,95,122,145,149,139,130,154,126,85,101,64,76
Howard Community College,ASSOCIATE,496030,SECONDARY EDUCATION - CHEMISTRY (AA,131323,Approved in 2005,1,1,2,1,4,4,5,4,1,3,1,4,2,3
Howard Community College,ASSOCIATE,496031,SECONDARY EDUCATION - MATHEMATICS (,131311,Approved in 2005,9,6,9,13,9,10,13,11,12,12,8,6,6,4
Howard Community College,ASSOCIATE,496032,SECONDARY EDUCATION - PHYSICS (AAT),131329,Approved in 2005,0,0,1,2,4,1,1,0,5,6,0,0,0,0
Howard Community College,ASSOCIATE,496033,SECONDARY EDUCATION-SPANISH (AAT),131330,Approved in 2005,3,3,3,9,9,8,9,13,22,14,6,4,4,8
